Approach,Dataset,Architecture,Intent_Acc,Slot_F1,Combined,Train_Time,Test_Time
Independent,ATIS,RNN,70.77267637178052,93.1948619341232,81.98376915295185,33.54597568511963,0.2489078044891357
Independent,ATIS,LSTM,73.4602463605823,93.98742820906149,83.72383728482188,59.0398256778717,0.3591992855072021
Independent,SLURP,RNN,7.8009414929388,72.8700068767899,40.335474184864346,58.12842035293579,0.8131089210510254
Independent,SLURP,LSTM,76.76529926025555,74.8095127645752,75.78740601241537,100.08865213394164,1.5697543621063232
Slot→Intent,ATIS,RNN,70.54871220604704,0.0,35.27435610302352,17.025062084197998,0.1169526576995849
Slot→Intent,ATIS,LSTM,90.8174692049272,0.0,45.4087346024636,32.33558917045593,0.247694730758667
Slot→Intent,SLURP,RNN,34.12911903160726,0.0,17.06455951580363,34.33120894432068,0.7298469543457031
Slot→Intent,SLURP,LSTM,76.76529926025555,0.0,38.38264963012777,58.242982387542725,0.9130995273590088
Intent→Slot,ATIS,RNN,0.0,93.79611910821431,46.89805955410716,18.405333757400516,0.2485055923461914
Intent→Slot,ATIS,LSTM,0.0,93.98742820906149,46.993714104530746,34.60926032066345,0.3581960201263428
Intent→Slot,SLURP,RNN,0.0,72.91618558840383,36.45809279420192,36.63923144340515,0.9041435718536376
Intent→Slot,SLURP,LSTM,0.0,76.44885702686989,38.224428513434944,62.58334541320801,1.1528725624084473
Joint Model,ATIS,RNN,74.46808510638297,92.29297617298651,83.38053063968475,16.11462426185608,0.2570333480834961
Joint Model,ATIS,LSTM,87.2340425531915,93.11287231947442,90.17345743633297,27.70709800720215,0.3471138477325439
Joint Model,SLURP,RNN,32.04438466711499,69.5913183522005,50.81785150965774,32.194870471954346,1.140157699584961
Joint Model,SLURP,LSTM,76.49630127774041,72.8700068767899,74.68315407726516,53.52372741699219,1.2617311477661133
